stockkey,marketcap,forwardpe,trailingpe,pricetobook,dividendyield,beta
1,13482469376,22.919308,30.01132,4.4957604,1.37,1.019
2,130373574656,17.572206,20.40823,7.31926,2.37,0.945
3,49822216192,19.645916,17.410345,2.7429783,1.82,0.894
4,9642345472,9.8,6.447369,1.6068449,3.71,0.763
5,67020759040,17.70936,23.344156,5.2489414,1.45,1.298
6,18190520320,26.172703,32.56846,5.009597,0.94,1.28
7,47322034176,18.821918,38.886795,12.152123,2.13,0.882
8,4247180288,22.036951,31.081434,3.222451,1.11,1.072
9,2509631232,6.2198586,,0.8350791,,1.211
10,29700743168,12.309588,13.411941,1.535806,3.56,1.011
11,25197705216,17.29843,15.403264,2.0705323,2.42,1.282
12,50824069120,23.822979,59.2449,8.444916,0.37,0.757
13,63193456640,20.044142,17.260233,2.0789237,3.22,0.598
14,186001997824,16.711176,26.735294,19.337177,2.76,0.461
15,409001197568,46.862804,50.757294,14.016537,0.56,0.982
16,58218553344,26.606876,27.769112,9.718809,0.91,1.038
17,202705567744,17.156431,28.148287,10.454738,3.84,0.423
18,35220135936,13.909567,17.957699,26.43996,4.75,0.252
19,6840305664,13.3522005,16.083332,2.9190156,,0.72
20,11573594112,18.616253,,28.477211,3.4,0.549
21,1576192000,4.883117,,0.5843954,7.45,0.902
22,1283151232,7.426065,7.4634757,0.73212916,,1.315
