performanceid,stockkey,trainingdatekey,mae,rmse,mape,lookbackwindow,forecasthorizon,createdat
1,1,20251205,4.714166917606276,5.98700509323297,2.0606345340847305,60,14,2025-12-05 06:03:30.942527
2,1,20251205,6.237806960514614,7.708412429487982,2.726428206693011,60,14,2025-12-05 06:14:10.436714
3,2,20251205,4.491420000426624,5.521945416725799,2.319233157123052,60,14,2025-12-05 06:16:11.911763
4,3,20251205,0.6041784719545015,0.8593016208902104,1.6008118487388965,60,14,2025-12-05 06:18:08.419192
5,4,20251205,1.1580916314708942,1.4941535885750212,5.0791258134941355,60,14,2025-12-05 06:19:41.452987
6,5,20251205,0.5431975260072824,0.6936084382575518,1.658957796784477,60,14,2025-12-05 06:21:41.918049
7,6,20251205,3.535058083826182,4.891414027880696,2.158468253352076,60,14,2025-12-05 06:23:26.755768
8,7,20251205,1.5514866845948356,1.9505093884356377,3.9798470118441944,60,14,2025-12-05 06:25:01.572171
9,8,20251205,2.4270511354718933,3.0094991049275923,2.530216152328395,60,14,2025-12-05 06:27:51.810707
10,9,20251205,0.4062281888966658,0.5221742431116362,4.1608421331903465,60,14,2025-12-05 06:28:53.672170
11,10,20251205,0.6657619698179522,0.8716000299630547,2.03658857647562,60,14,2025-12-05 06:30:41.153893
12,11,20251205,1.3147696942558336,1.8364678109773747,1.4897301405841221,60,14,2025-12-05 06:32:54.505901
13,12,20251205,1.6570696504531433,2.5170107895114926,1.1929556335245002,60,14,2025-12-05 06:35:36.078953
14,13,20251205,1.278776533990282,1.7221264986848932,1.4211638160194564,60,14,2025-12-05 06:38:22.660230
15,14,20251205,8.400725450635717,11.002993619476312,3.0043558053528683,60,14,2025-12-05 06:41:31.531542
16,15,20251205,22.926029384379483,34.72905197358163,2.6109814647489666,60,14,2025-12-05 06:45:00.647048
17,16,20251205,3.0598418479063074,3.915610013032802,2.210233319797275,60,14,2025-12-05 06:48:41.185940
18,17,20251205,2.5541988596624257,3.206782621308301,1.7070709990351292,60,14,2025-12-05 06:49:42.154843
19,18,20251205,2.053116249551579,2.7184851621212562,1.6137192487330243,60,14,2025-12-05 06:52:05.537690
20,19,20251205,0.3833275381399661,0.547585219342524,2.0614989897433937,60,14,2025-12-05 06:53:46.366260
21,20,20251205,1.2142799401769833,1.6328908452085258,2.0700858377304656,60,14,2025-12-05 06:56:24.352431
22,21,20251205,1.4906505782385262,1.7007689533048727,25.402289270773654,60,14,2025-12-05 06:58:28.661913
23,22,20251205,0.9906261709271645,1.2968678660181592,3.582224197364324,60,14,2025-12-05 06:59:17.165317
24,1,20251205,8.893906661442347,10.96418320332636,3.810388892934763,60,14,2025-12-05 07:09:38.368215
25,2,20251205,3.493098821445387,4.491426328383253,1.8344675723034116,60,14,2025-12-05 07:11:13.123754
26,3,20251205,0.6291825566973006,0.8906866444834515,1.6602743675263025,60,14,2025-12-05 07:12:41.043433
27,4,20251205,0.8549384486918546,1.1468582072423832,3.855586878639703,60,14,2025-12-05 07:14:22.904074
28,5,20251205,0.5995050797657091,0.7560397975968194,1.829604037477205,60,14,2025-12-05 07:16:50.383065
29,6,20251205,4.48703567641122,5.96053785767953,2.6819446359607437,60,14,2025-12-05 07:19:23.408747
30,7,20251205,3.3325583389827185,4.436368702577071,8.292634865108797,60,14,2025-12-05 07:21:12.334852
31,8,20251205,2.0458097068630954,2.590621890168078,2.135383777641209,60,14,2025-12-05 07:22:01.192391
32,9,20251205,0.4229355033563108,0.5506955596468012,4.277470331603801,60,14,2025-12-05 07:23:16.307976
33,10,20251205,0.5561717261985399,0.739839141114219,1.698025934925826,60,14,2025-12-05 07:25:24.292323
34,11,20251205,1.2439543299894384,1.7597122346773735,1.4058922962102638,60,14,2025-12-05 07:27:46.696415
35,12,20251205,1.8965277677565922,2.850415430868561,1.3344864159691605,60,14,2025-12-05 07:30:33.750939
36,13,20251205,3.1367002221277906,4.261051293983075,3.3182034339185624,60,14,2025-12-05 07:33:51.951661
37,14,20251205,4.305235449084121,5.86763630342631,1.6349734388440234,60,14,2025-12-05 07:36:10.398187
38,15,20251205,25.21169326159419,34.79492626046841,2.853755765322406,60,14,2025-12-05 07:38:16.821105
39,16,20251205,3.5765585480904094,4.445218013490618,2.5094385018304273,60,14,2025-12-05 07:41:03.722280
40,17,20251205,2.400892919423629,3.0500261633644,1.5991498897883272,60,14,2025-12-05 07:42:28.635057
41,18,20251205,3.023486537349468,3.809017349658156,2.37300208955305,60,14,2025-12-05 07:44:55.113681
42,19,20251205,0.4682625557695117,0.6423838813250069,2.50863823960371,60,14,2025-12-05 07:46:15.825733
43,20,20251205,0.9277940044597706,1.3345266172349695,1.5952846864394223,60,14,2025-12-05 07:47:40.772154
44,21,20251205,1.448230483823893,1.7096664895639642,24.930777461076445,60,14,2025-12-05 07:49:48.417467
45,22,20251205,0.6966867607467029,0.9592824781956424,2.522491284638449,60,14,2025-12-05 07:50:37.777367
