predictiondatekey,stockkey,forecastprices,createdat
20251205,3,"{{49.24055862426758,49.64820098876953,49.67766189575195,49.722747802734375,49.751712799072266,49.76953125,49.77998352050781,49.786781311035156,49.79233169555664,49.7976188659668,49.80275344848633,49.807472229003906,49.81148910522461,49.81464767456055}}",2025-12-05 07:01:25.196533
20251205,4,"{{26.258121490478516,26.06247901916504,25.913761138916016,25.794401168823242,25.657451629638672,25.54220199584961,25.45346450805664,25.38368034362793,25.337350845336914,25.32832145690918,25.35250473022461,25.399978637695312,25.464872360229492,25.5338134765625}}",2025-12-05 07:01:25.692940
20251205,6,"{{177.14501953125,178.83338928222656,179.56686401367188,180.26002502441406,180.7822265625,181.18060302734375,181.48135375976562,181.70462036132812,181.8670654296875,181.98226928710938,182.06129455566406,182.11280822753906,182.14356994628906,182.1588897705078}}",2025-12-05 07:01:26.699624
20251205,7,"{{36.722023010253906,38.75626754760742,39.68107986450195,39.87631607055664,39.78123092651367,39.61372756958008,39.47368240356445,39.39115905761719,39.36201477050781,39.371158599853516,39.40351486206055,39.44749450683594,39.495304107666016,39.54216003417969}}",2025-12-05 07:01:27.196659
20251205,8,"{{92.2598648071289,91.68193054199219,91.67290496826172,91.7752456665039,91.9035415649414,92.02684020996094,92.13652038574219,92.23434448242188,92.32447814941406,92.41008758544922,92.49259948730469,92.57188415527344,92.64701080322266,92.71675109863281}}",2025-12-05 07:01:27.707964
20251205,9,"{{9.353299140930176,9.417991638183594,9.352811813354492,9.253203392028809,9.161707878112793,9.07356071472168,8.940604209899902,8.840904235839844,8.764286041259766,8.693401336669922,8.634015083312988,8.591959953308105,8.561767578125,8.542311668395996}}",2025-12-05 07:01:28.232938
20251205,10,"{{43.01810073852539,44.09122848510742,44.47482681274414,44.678287506103516,44.744285583496094,44.74094772338867,44.70914840698242,44.67180633544922,44.63981246948242,44.61685562133789,44.60289001464844,44.59627151489258,44.59500503540039,44.597251892089844}}",2025-12-05 07:01:28.741975
20251205,11,"{{131.60760498046875,132.03173828125,131.8238067626953,131.64820861816406,131.58245849609375,131.60243225097656,131.67495727539062,131.7744140625,131.88357543945312,131.99160766601562,132.0924072265625,132.18295288085938,132.26229858398438,132.3306121826172}}",2025-12-05 07:01:29.273164
20251205,12,"{{198.6880645751953,202.2853546142578,201.88514709472656,201.375732421875,201.17572021484375,201.0919952392578,201.04843139648438,201.01968383789062,200.9971466064453,200.97793579101562,200.96121215820312,200.94686889648438,200.93484497070312,200.9250946044922}}",2025-12-05 07:01:29.768536
20251205,13,"{{108.26039123535156,113.60964965820312,116.32579040527344,116.83650970458984,116.50482940673828,116.01107788085938,115.61080932617188,115.34976196289062,115.20480346679688,115.142333984375,115.135009765625,115.16358184814453,115.21501922607422,115.28044891357422}}",2025-12-05 07:01:30.269262
